Product_Title ,Price ,Shop Name,Category_Id
ZOTAC GAMING GEFORCE RTX 2060 TWIN FAN 6GB GRAPHICS CARD, 38000,bdstall,1
XFX AMD RADEON RX 570 RS XXX EDITION 8GB GRAPHICS CARD, 15500,bdstall,1
GIGABYTE GEFORCE 1030 2GB DDR5 LOW PROFILE GRAPHICS CARD, 8400,bdstall,1
AFOX NVIDIA GEFORCE G210 1GB DDR3 DESKTOP GRAPHICS CARD, 2700,bdstall,1
ASUS EXPEDITION GEFORCE GTX 1050 TI 4GB GDDR5 GRAPHICS CARD, 17999,bdstall,1
MSI GEFORCE GTX 1660 TI GAMING X 6GB GDDR6 GRAPHICS CARD, 33500,bdstall,1
MSI RADEON RX 570 4GB GDDR5 GRAPHICS CARD, 13100,bdstall,1
VIEW ONE NVIDIA GEFORCE GT 710 DDR3 1GB GRAPHICS CARD, 2600,bdstall,1
GIGABYTE GEFORCE GTX 1050 TI G1 GAMING 4GB DDR5 GRAPHICS CARD, 9800,bdstall,1
MSI ARMOR GEFORCE GTX 1070 8GB GDDR5 GAMING GRAPHICS CARD, 26000,bdstall,1
ASUS NVIDIA GEFORCE GT 1030 2GB GDDR5 GRAPHICS CARD, 8500,bdstall,1
GIGABYTE GEFORCE RTX 2080 WINDFORCE OC 8G GDDR6 GRAPHICS, 78000,bdstall,1
GIGABYTE NVIDIA GEFORCE GT 710 2GB DDR5 GRAPHICS CARD, 5400,bdstall,1
ASUS PHOENIX GEFORCE GTX 1050 3GB GDDR5 GRAPHICS CARD, 15800,bdstall,1
GIGABYTE NVIDIA GEFORCE GT 1030 2GB GRAPHICS CARD, 8000,bdstall,1
ASUS ROG STRIX RX-580 8GB GDDR5 PCI 3.0 GAMING GRAPHICS CARD, 25500,bdstall,1
ASUS NVIDIA GEFORCE GT 710 2GB DDR5 GRAPHICS CARD, 6200,bdstall,1
COLORFUL IGAME GEFORCE GTX 1050TI VULCAN U 4G EC VIDEO CARD, 15500,bdstall,1
ASUS DUAL SERIES RADEON RX 580 OC 8GB GDDR5 GRAPHICS CARD, 26000,bdstall,1
GIGABYTE GEFORCE GTX 1050 TI G1 GAMING 4GB VIDEO CARD, 17900,bdstall,1
ASUS GEFORCE GT 1030 2GB GDDR5 LOW PROFILE GRAPHICS CARD, 7000,bdstall,1
ASUS EXPEDITION GEFORCE GTX1050 4GB GAMING GRAPHICS CARD, 19000,bdstall,1
ZOTAC GEFORCE GT 1030 LOW PROFILE 2GB GDDR5 GRAPHICS CARD, 8150,bdstall,1
ASUS GEFORCE GTX 1070 G1 8GB DDR5 GAMING GRAPHICS CARD, 50000,bdstall,1
ASUS GT710 2GB DDR3 EFFICIENT COOLING GRAPHICS CARD, 4700,bdstall,1
ASUS GT710-SL DDR5 2GB GRAPHICS CARD, 4850,bdstall,1
ZOTAC GEFORCE GTX 1650 OC 4GB GDDR5 GAMING GRAPHICS CARD, 14450,bdstall,1
