Product_Title,Price,Shop,Category_Id
ASUS ROG STRIX GEFORCE RTX 2080 OC EDITION 8GB GDDR6 GRAPHICS CARD,91500,STARTECH,1
ASUS TUF GAMING X3 GEFORCE GTX 1660 ADVANCED EDITION 6GB GDDR5 GRAPHICS CARD,27800,STARTECH,1
ASUS TUF GAMING X3 RADEON RX 5700 XT OC 8GB GRAPHICS CARD,48300,STARTECH,1
COOLER MASTER UNIVERSAL VGA HOLDER FOR ALL SIZE TOWER CHASSIS,1300,STARTECH,1
GALAX GEFORCE GT 1030 EXOC WHITE 2GB GDDR5 GRAPHICS CARD,8000,STARTECH,1
GIGABYTE GEFORCE RTX 2060 SUPER WINDFORCE OC 8GB GRAPHICS CARD,42500,STARTECH,1
GIGABYTE GT 1030 2GB OC GRAPHICS CARD,8000,STARTECH,1
SAPPHIRE PULSE RADEON RX 570 4GB GDDR5 HDMI DP GRAPHICS CARD,13100,STARTECH,1
SAPPHIRE PULSE RADEON RX 570 8GB GDDR5 GRAPHICS CARD,16200,STARTECH,1
SAPPHIRE PULSE RADEON RX 580 8GB GRAPHICS CARD,20300,STARTECH,1
XFX AMD RADEON RX 570 RS 8GB XXX EDITION GRAPHICS CARD,15800,STARTECH,1
XFX RADEON RX 5700 XT THICC II ULTRA 8GB GDDR6 GRAPHICS CARD,43000,STARTECH,1
ZOTAC GEFORCE GT 710 2GB DDR3 GRAPHICS CARD,4200,STARTECH,1
GALAX GEFORCE GTX 1650 EX (1-CLICK OC) 4GB GDDR5 GRAPHICS CARD,15000,STARTECH,1
SAPPHIRE NITRO+ RX 570 8G GDDR5 GRAPHICS CARD,18800,STARTECH,1
XFX AMD RADEON RX 5700 DD ULTRA 8GB GDDR6 GRAPHICS CARD,36000,STARTECH,1
ZOTAC GEFORCE GT 1030 LOW PROFILE 2GB GDDR5 GRAPHICS CARD,8000,STARTECH,1
GALAX GEFORCE GTX 1060 OC 3GB GDDR5 GRAPHICS CARD,19000,STARTECH,1
GIGABYTE GEFORCE GTX 1650 OC 4GB GRAPHICS CARD,17200,STARTECH,1
SAPPHIRE NITRO+RADEON RX 570 OC 8GB GDDR5 GRAPHICS CARD,19000,STARTECH,1
XFX AMD RADEON RX 5700 XT THICC II ULTRA 8GB GDDR6 GRAPHICS CARD,41500,STARTECH,1
